NumImm,Nom,Prenom,CIN,Adresse,Tel,Status
IMM00082,Carpentier,Michel,Rf65168,"46, rue Guyot, 83204 Bruneau",05 55 03 96 28,Suspendu
IMM00083,Lacroix,Suzanne,xo19312,"73, rue de Sauvage, 97123 Fontaine-sur-Philippe",05 16 47 96 78,Suspendu
IMM00084,Faivre,Honoré,Ho12833,"943, chemin de Dupré, 05929 AntoineVille",+33 5 96 81 36 79,Actif
IMM00085,Benoit,Monique,vn73020,"82, rue Maggie Brunel, 93311 Letellier",03 85 25 30 98,Actif
IMM00086,Maréchal,Maryse,Xl23313,"5, chemin de Da Silva, 97344 Saint Xavierboeuf",+33 (0)3 28 76 66 48,Inactif
IMM00087,Gallet,Alix,rj70398,"84, boulevard Charles Pinto, 97698 Albertboeuf",0562429321,Actif
IMM00088,De Oliveira,Bernadette,Qi06436,"91, rue Hernandez, 26630 Lombard",0276178068,Inactif
IMM00089,Gilbert,Julie,Dd53298,"89, boulevard Charlotte Vallée, 74750 Voisin-sur-Monnier",0622444366,Actif
IMM00090,Henry,Marie,DV65423,"51, chemin Paul Rémy, 03844 Bègue",0380876858,Actif
IMM00091,Pineau,Robert,fv76360,"69, avenue de Gay, 70829 Thomas",+33 3 84 61 34 09,Actif
IMM00092,Hernandez,Émile,pU40159,"49, rue Poirier, 14619 Guibertboeuf",+33 2 54 58 23 11,Actif
IMM00093,Lemoine,Adrien,Bx17217,"67, rue de Payet, 24246 Charpentier",0485009845,Suspendu
IMM00094,Giraud,Anastasie,jC29347,"rue Courtois, 06365 Petit-la-Forêt",+33 2 47 82 16 56,Inactif
IMM00095,Guillaume,Antoine,YT15199,"chemin Toussaint, 15198 Vallet",+33 3 71 12 11 65,Suspendu
IMM00096,Lemaire,Marie,QO87236,"247, boulevard Catherine Dupuis, 88523 Godard",0368381589,Actif
IMM00097,Morvan,Christine,Hn35480,"8, rue de Guillaume, 21667 Diallo",0278442572,Suspendu
IMM00098,Pelletier,Hortense,kN70434,"707, chemin de Delattre, 29578 Lagarde-sur-Mer",0786708931,Actif
IMM00099,Dumas,Julie,TU27761,"79, rue Éric Martinez, 51683 Sainte Vincent",01 72 22 49 24,Suspendu
IMM00100,Baron,Jeanne,Ha73176,"6, rue Gérard, 79757 Saint PauletteBourg",07 91 23 03 62,Suspendu
IMM00101,Neveu,Édouard,jC05796,"29, avenue de Germain, 63735 Pelletier",06 34 70 38 83,Actif
IMM00102,Godard,Caroline,ZY49878,"764, chemin Barbier, 97183 Pelletier-sur-Fernandes",04 99 41 49 94,Actif
IMM00103,Mallet,Frédéric,Hf40479,"31, chemin Garcia, 64592 Colin-sur-Louis",+33 2 99 79 00 67,Actif
IMM00104,Daniel,Olivier,Ga32525,"rue Philippe Allard, 54405 Carre-sur-Perrot",04 68 92 51 10,Suspendu
IMM00105,Bouvier,Geneviève,oG35821,"60, boulevard Joseph, 15589 Leclerc",+33 2 98 55 13 72,Suspendu
IMM00106,Legrand,Jacqueline,SK89685,"37, avenue Eugène Lagarde, 66159 Descamps",+33 2 33 67 54 32,Actif
IMM00107,Lesage,Susanne,gB64066,"3, chemin de Blanchet, 12438 Bernier",+33 2 48 59 65 21,Actif
IMM00108,Delorme,Camille,kd52041,"652, boulevard Fournier, 74823 Hamel",0437658117,Suspendu
IMM00109,Carlier,Susanne,pf79951,"333, rue Petitjean, 61692 Chevallier",0390017775,Actif
IMM00110,Lesage,Louise,Yz08915,"boulevard Rodriguez, 65428 Sainte ÉdouardBourg",+33 (0)4 92 62 22 53,Inactif
IMM00111,Hardy,Lucie,Te59006,"rue de Merle, 40281 Renault-sur-Michel",0659126238,Inactif
IMM00112,Leroy,Agathe,aD24322,"68, chemin Buisson, 65172 Carpentier-les-Bains",0322786859,Suspendu
IMM00113,Lejeune,Sabine,XW85928,"360, rue de Pons, 36491 Collet-la-Forêt",+33 (0)4 78 69 76 83,Actif
IMM00114,Goncalves,René,xr61219,"53, rue de Hamel, 57504 Bouchet-sur-Mer",04 86 79 43 90,Actif
IMM00115,Mace,Étienne,Uv20057,"403, rue Suzanne Bouvier, 78256 Barbierboeuf",+33 (0)5 47 17 20 09,Suspendu
IMM00116,Fleury,Claire,dy28096,"88, rue de Sauvage, 59556 Barbe-sur-Germain",+33 3 70 25 55 67,Actif
IMM00117,Legrand,Adèle,gX15511,"9, rue Édouard Rossi, 51165 Barre",01 48 66 06 80,Actif
IMM00118,Nicolas,Michelle,yw26246,"42, avenue Maillet, 36306 Hervé",+33 2 40 44 81 98,Actif
IMM00119,Antoine,Martin,CT81491,"65, avenue Da Silva, 71301 Jacquet-la-Forêt",04 15 54 47 12,Inactif
IMM00120,Michaud,Arnaude,sW03985,"540, boulevard de Leconte, 59599 LégerVille",+33 3 52 44 43 34,Inactif
IMM00121,Valentin,Élodie,FN07746,"boulevard Arnaude Hernandez, 53492 Saint Paulette",0565565161,Actif
IMM00122,Perret,Yves,SX13340,"19, rue de Blanchard, 28913 ArnaudBourg",+33 (0)2 21 78 87 95,Inactif
IMM00123,Hamon,Aimée,Zv43315,"225, chemin Caroline Gautier, 48751 Saint MichelleVille",0470942556,Actif
IMM00124,Foucher,Margaux,ct02757,"58, rue Arnaud, 63112 Blin",+33 1 53 40 83 00,Actif
IMM00125,Morel,Claire,kW87273,"776, avenue Denis Daniel, 84209 Laroche",04 75 24 68 48,Suspendu
IMM00126,Delmas,Arthur,wR24928,"4, chemin Marion, 06536 Saint Frédérique",+33 (0)4 56 77 11 73,Actif
IMM00127,Aubert,Valérie,FH63335,"73, avenue de Valette, 26437 Maurice",+33 3 69 77 79 74,Actif
IMM00128,Traore,Thibaut,jh33231,"4, chemin de Schmitt, 79227 Saint Aurélie-la-Forêt",04 79 22 47 99,Actif
IMM00129,Hernandez,Maurice,GT10556,"375, rue de Becker, 46299 Leleu",04 92 29 78 30,Inactif
IMM00130,Barbier,Noémi,tp85088,"rue René Camus, 31855 Besnard-les-Bains",03 29 55 75 03,Actif
IMM00131,Teixeira,Rémy,hQ11407,"10, rue Hebert, 07146 Weber-sur-Mer",+33 (0)6 27 27 96 69,Actif
IMM00132,Diaz,Simone,gN81727,"38, avenue de Ferrand, 30300 Sainte Lucie",0371948328,Actif
IMM00133,Lebreton,Henri,Iq42690,"13, boulevard de Rousseau, 87316 Henryboeuf",04 71 02 89 14,Actif
IMM00134,Devaux,Paul,DV38544,"27, rue Adrienne Maurice, 38935 PereiraBourg",+33 3 65 42 95 20,Actif
IMM00135,Roussel,Auguste,dU82249,"86, chemin de Ferreira, 73947 Lemoine",+33 3 89 22 10 73,Suspendu
IMM00136,Diaz,Andrée,gE29391,"67, boulevard de Renaud, 91478 Becker",0251548308,Actif
IMM00137,François,Océane,Ny90876,"129, rue Delmas, 05418 Sainte Christelle",0434592474,Actif
IMM00138,Berger,Daniel,vp11985,"99, boulevard Jeannine Launay, 63749 Peron",0556233302,Actif
IMM00139,Dupont,Guillaume,Zx92645,"rue Le Roux, 52378 Briand-sur-Mer",+33 3 57 87 70 38,Suspendu
IMM00140,Lefebvre,Étienne,OA13559,"boulevard Maurice Perrin, 75568 Gomez",0466138845,Actif
IMM00141,Tanguy,Nicole,UJ11656,"77, chemin Gomes, 23835 GérardBourg",+33 5 64 58 92 58,Inactif
IMM00142,Dupré,Laurent,Yz59166,"672, avenue Marcel Peltier, 58212 Dumontboeuf",0249830356,Suspendu
IMM00143,Carpentier,Anne,Wa12039,"41, avenue de Ferreira, 83378 Grondinnec",+33 (0)5 56 19 97 58,Inactif
IMM00144,Peltier,Étienne,EY45797,"618, rue de Muller, 32785 Vaillant-sur-Mer",04 98 53 25 34,Actif
IMM00145,Perrot,Marthe,Gr96179,"58, avenue Roger, 05296 Sainte Simone-sur-Mer",+33 (0)3 61 67 78 41,Inactif
IMM00146,Gomez,Josette,Li88647,"12, avenue Xavier Le Goff, 13581 Sainte NicolasVille",02 34 07 64 68,Inactif
IMM00147,Roux,Noémi,Hs17508,"40, rue Jean, 56437 Sainte Julien",+33 2 23 51 97 84,Actif
IMM00148,Barre,Valérie,SV32172,"444, avenue de Camus, 73468 Antoine",0587180501,Suspendu
IMM00149,Potier,Patrick,Dn34591,"318, rue de Letellier, 87510 Lévy",+33 (0)6 07 30 04 98,Suspendu
IMM00150,Adam,Henriette,lE53647,"58, rue de Reynaud, 32818 KleinBourg",0357300886,Actif
IMM00151,Didier,Dorothée,AR79422,"26, chemin Lecomte, 78343 Descamps-les-Bains",04 82 06 79 64,Actif
IMM00152,Le Gall,Adrienne,PH97126,"28, chemin Schmitt, 83113 CharpentierVille",+33 (0)4 34 85 38 61,Suspendu
IMM00153,Fischer,Éléonore,YL04473,"36, chemin Maurice Grégoire, 95210 Fleury",+33 (0)4 92 74 08 28,Actif
IMM00154,Klein,Marianne,nD43197,"51, boulevard Berger, 53180 Regnier",0232740997,Actif
IMM00155,Gomez,Isabelle,ZV41629,"4, avenue Michèle Delorme, 79856 Schneider-sur-Mer",0753042538,Actif
IMM00156,Lévêque,Margaret,pP76264,"boulevard Auger, 31424 Barthelemy",+33 (0)4 84 86 55 07,Inactif
IMM00157,Rousseau,Valentine,Zg76278,"8, chemin de Leconte, 02467 Durand-la-Forêt",+33 (0)6 27 65 48 38,Actif
IMM00158,Jacob,Pauline,XU51023,"7, avenue Nicolas, 22124 Ramos",0322704585,Suspendu
IMM00159,Guillon,Aurore,gs95098,"boulevard Céline Normand, 75323 Saint Jeannineboeuf",+33 7 45 37 45 47,Suspendu
IMM00160,Bodin,Thérèse,Gg69917,"48, rue Denise Lemaire, 08849 Colas-sur-Mer",+33 (0)3 22 71 69 05,Actif
IMM00161,Charpentier,Adrienne,Vx97075,"5, boulevard Hardy, 72513 Leblancdan",0434560711,Actif
IMM00162,Dupont,Anne,dD51150,"44, rue Gillet, 51237 Sainte Célina",+33 1 40 26 41 57,Inactif
IMM00163,Roussel,Alphonse,ND21777,"chemin Joubert, 56881 Adam-sur-Mer",+33 7 79 49 83 47,Inactif
IMM00164,Le Roux,Antoinette,uS54769,"5, boulevard Leclercq, 92408 De Oliveira",+33 2 33 73 74 48,Actif
IMM00165,Antoine,Nicole,Xo84038,"27, avenue de Bourdon, 59510 Petit",03 64 06 28 52,Actif
IMM00166,Boyer,Lucy,VF39838,"987, avenue de Lopez, 16503 Guillot",03 54 25 71 54,Suspendu
IMM00167,Pires,Claude,gw21033,"16, rue Klein, 97388 Saint Christophe",0562339461,Actif
IMM00168,Brunel,Philippine,gJ96437,"98, chemin Arthur Guillou, 70516 Sainte Sabine",02 29 59 75 02,Inactif
IMM00169,Buisson,Éléonore,eg00043,"55, rue Lefebvre, 16225 Sainte Victoire",+33 5 49 08 15 39,Inactif
IMM00170,Chevalier,Charlotte,Yc44759,"7, chemin Benjamin Morin, 39233 Riou",0586963184,Actif
IMM00171,Albert,Jean,YG50295,"1, rue Regnier, 13565 Lévy-sur-Morvan",+33 (0)1 49 68 73 08,Actif
IMM00172,Renault,Célina,ZX38290,"74, avenue Renée Morin, 17468 Sainte Joseph",+33 4 20 51 20 29,Actif
IMM00173,Lecomte,Adèle,DO04263,"55, chemin Hugues Bonneau, 63280 Guillou-sur-Mer",+33 1 74 12 98 53,Inactif
IMM00174,Ollivier,Zacharie,WC18919,"97, boulevard Lévy, 79615 Rivière-sur-Mer",+33 2 36 88 41 90,Actif
IMM00175,Marion,Thomas,Qw56646,"71, rue de Guillaume, 51727 Bousquet",0219618133,Inactif
IMM00176,Noël,Élodie,sV76361,"3, avenue de Ferreira, 20936 Sainte Marienec",0353220073,Suspendu
IMM00177,Bodin,Victor,yJ46821,"25, rue de Dias, 35969 BouvetBourg",06 54 96 23 53,Inactif
IMM00178,Leclercq,Adèle,hY64557,"18, rue Rodrigues, 37969 Le Roux",+33 6 34 42 26 22,Actif
IMM00179,Vaillant,Alain,zZ46110,"96, boulevard Bègue, 43292 Georges",0499129502,Actif
IMM00180,Ferreira,Hélène,fV76506,"chemin de Cohen, 23196 FaivreBourg",06 37 34 22 49,Actif
IMM00181,Gaudin,Philippine,ZM38956,"51, avenue Michèle Étienne, 46647 Leconte-sur-Boucher",01 77 07 01 69,Actif
IMM00182,Guichard,Joséphine,Qu02273,"818, rue Vincent, 89219 Sainte Andrée",+33 (0)2 34 27 94 95,Suspendu
IMM00183,Jourdan,Susanne,AN02287,"5, rue Caron, 91443 Leclerc",+33 (0)4 77 90 36 22,Actif
IMM00184,Fabre,Agathe,qv04713,"82, rue Clémence Roche, 70927 Saint SébastienBourg",02 18 30 10 22,Actif
IMM00185,Jourdan,Olivier,Ok78603,"30, chemin Neveu, 68578 Collin-sur-Legros",+33 (0)3 65 71 45 88,Actif
IMM00186,Faivre,Odette,ly23070,"40, chemin Alfred Albert, 25279 Jacob-sur-Thomas",+33 (0)5 36 04 76 11,Actif
IMM00187,Auger,Xavier,Bd87087,"84, avenue Bernadette Brunet, 38501 Lévynec",+33 (0)4 89 50 92 84,Actif
IMM00188,Lacombe,Susanne,lz25217,"9, rue Albert, 02526 Coste",02 22 90 68 55,Suspendu
IMM00189,Jacquot,Nicole,Hj79067,"7, rue de Lefèvre, 55849 Dupontboeuf",0495899756,Inactif
IMM00190,Faivre,Frédéric,JP32394,"99, boulevard de Sanchez, 32474 Pelletier",0357437603,Actif
IMM00191,Collet,Alexandrie,pR75529,"9, rue Pinto, 75859 Bonnet-sur-Rousseau",+33 8 06 34 77 07,Suspendu
IMM00192,Perrot,Manon,jz35228,"rue Catherine Maury, 30489 Bouchet",0322707738,Inactif
IMM00193,Tessier,Anouk,sm74538,"71, boulevard Louis Lelièvre, 06773 Bourgeoisnec",+33 (0)4 73 27 51 16,Suspendu
IMM00194,Collet,Emmanuelle,MZ68217,"75, rue Gabriel Royer, 16361 Bernier-sur-Mer",+33 3 54 79 22 14,Actif
IMM00195,Guillet,Alix,uf50087,"48, rue de Barthelemy, 08451 Hoareau-la-Forêt",05 54 69 98 48,Inactif
IMM00196,Hamel,Margaux,nB24327,"7, chemin Fournier, 63363 Humbert",+33 (0)7 41 18 79 24,Actif
IMM00197,Bertin,Jacques,YW40140,"32, rue de Lemoine, 97680 Maury",+33 (0)4 87 64 36 84,Actif
IMM00198,Klein,Frédérique,xc00340,"43, rue Gérard, 77308 Caronnec",+33 (0)6 36 90 08 46,Actif
IMM00199,Fontaine,Maurice,zQ20485,"189, boulevard de Sauvage, 73692 Saint ChristelleVille",+33 1 83 69 27 93,Inactif
IMM00200,Maillard,Dorothée,KS56162,"13, rue Thomas Letellier, 65370 Buissondan",+33 2 23 85 67 63,Inactif
IMM00201,Tessier,Diane,Ya79564,"376, chemin de Joubert, 77952 Hervé-les-Bains",0290369018,Actif
IMM00202,Gilles,Thibault,FP69987,"573, chemin Christiane Morel, 24363 Martins",+33 (0)4 30 01 56 48,Suspendu
IMM00203,Charles,Renée,VP69874,"boulevard Becker, 19527 Evrard",0173995447,Suspendu
IMM00204,Bernard,Alfred,YS81556,"648, boulevard de Traore, 12791 Sainte Édouardnec",+33 (0)5 35 82 74 21,Actif
IMM00205,Boucher,Louis,cO22934,"32, avenue Lecomte, 64625 Saint Marcel-sur-Mer",+33 (0)5 49 32 29 69,Suspendu
IMM00206,Chrétien,Camille,at81098,"42, rue de Lemonnier, 06818 GirardVille",+33 4 65 52 51 83,Actif
IMM00207,Meunier,Camille,Ua27141,"2, avenue Aubert, 70540 Michaud-sur-Mer",05 65 29 03 67,Suspendu
IMM00208,Rocher,Pénélope,RZ73549,"67, chemin Carpentier, 10308 Godard-la-Forêt",02 30 52 90 68,Actif
IMM00209,Jacquot,Dominique,yB41596,"30, chemin Blanchet, 56298 Devaux-sur-Valentin",0607438821,Suspendu
IMM00210,Rocher,Sylvie,hZ24052,"383, rue Schneider, 48591 Jourdan",+33 (0)6 33 40 54 05,Suspendu
IMM00211,Diallo,Alexandrie,hw47503,"rue de Raynaud, 41844 Jourdan",0285146310,Actif
IMM00212,Dumas,Audrey,YV38239,"7, rue Dijoux, 23539 Didier-les-Bains",0757981182,Suspendu
IMM00213,Martin,Julie,rS56211,"272, avenue Stéphane Chevalier, 55215 Colletnec",+33 (0)4 81 51 65 47,Actif
IMM00214,Devaux,Simone,yk98843,"38, rue Zacharie Lévy, 67861 Muller",+33 7 54 33 51 92,Inactif
IMM00215,Bertin,Eugène,OQ38451,"rue de Chartier, 42277 Ruiznec",+33 2 62 59 29 74,Suspendu
IMM00216,Godard,Clémence,Of70242,"739, rue de Letellier, 19767 Wagner",0365427413,Actif
IMM00217,Jacquet,Paul,aZ17342,"999, boulevard Théodore Leduc, 54819 Leroux",+33 (0)5 17 92 37 28,Actif
IMM00218,Coulon,Marcelle,nO95049,"81, rue de Chauvet, 23907 Navarro",+33 5 18 56 68 39,Actif
IMM00219,Cousin,Lucy,pk85719,"999, rue de Mahe, 56447 Sainte Amélie",+33 1 45 59 15 68,Actif
IMM00220,Grondin,Bertrand,vq67900,"94, rue Édith Weber, 25836 Saint Christiane",+33 (0)2 35 64 59 46,Actif
IMM00221,Gomes,Antoine,Gd45061,"697, boulevard Aimée Leclerc, 61742 Parent-les-Bains",0250346668,Inactif
IMM00222,Hoareau,Diane,oz25361,"32, boulevard Martineau, 47575 Saint MaryseBourg",+33 (0)2 54 50 28 31,Actif
IMM00223,Duval,Henriette,CS26348,"389, boulevard de Salmon, 46922 Leroy",+33 5 35 61 26 34,Actif
IMM00224,Blin,Susan,hJ27303,"23, rue Brigitte Renault, 56275 Pichon",0489761967,Actif
IMM00225,Boucher,Aimé,dI27595,"69, chemin de Blot, 79457 Gimeneznec",03 84 10 55 20,Actif
IMM00226,Faure,Maggie,au38568,"3, avenue Goncalves, 28271 Barbier",0228662815,Actif
IMM00227,Bourdon,Céline,ca06813,"818, rue de Adam, 82602 Jourdanboeuf",+33 3 70 29 13 27,Actif
IMM00228,Ribeiro,Patricia,bv60182,"chemin Victoire Godard, 97181 Dijoux",+33 (0)4 20 12 86 75,Suspendu
